Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-08 11:04:11,,(Rapid Reporter version),"1.11.03.20",,
2011-04-08 11:04:11,,Session Reporter,"",,
2011-04-08 11:04:11,,Hashcode,"4125dd8225",,
2011-04-08 11:04:11,,Session Charter,"sd",,
2011-04-08 11:04:13,,autogenerated,"screenshot saved",1_20110408_110413_4125dd8225.jpg,
2011-04-08 11:04:21,,WebUrl: ,"http://www.flickr.com/photos/61188104@N03/5600228272/",,
2011-04-08 11:04:32,,autogenerated,"screenshot saved",2_20110408_110432_4125dd8225.jpg,
2011-04-08 11:04:39,,WebUrl: ,"http://www.flickr.com/photos/61188104@N03/5600228668/",,
2011-04-08 11:04:54,,Session End. Duration,"00:00:43",,
