Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-05 11:47:51,,(Rapid Reporter version),"1.11.03.20",,
2011-04-05 11:47:51,,Session Reporter,"",,
2011-04-05 11:47:51,,Hashcode,"c7f7ceb671",,
2011-04-05 11:47:51,,Session Charter,"asdsasasad",,
2011-04-05 11:47:53,,Setup,"asdsasadasd",,
2011-04-05 11:47:55,,autogenerated,"screenshot saved",1_20110405_114755_c7f7ceb671.jpg,
2011-04-05 11:48:06,,WebUrl: ,"http://www.flickr.com/photos/61188104@N03/5591285901/",,
2011-04-05 11:48:31,,Session End. Duration,"00:00:39",,
