Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-06 10:51:40,2150928,Kristoffer,(Rapid Reporter version),"1.11.03.20",,
2011-04-06 10:51:40,2150928,Kristoffer,Hash Code,"1ebe657",,
2011-04-06 10:51:40,2150928,Kristoffer,Twitter Account,"2150928",,
2011-04-06 10:51:40,2150928,Kristoffer,Session Reporter,"Kristoffer",,
2011-04-06 10:51:40,2150928,Kristoffer,Session Charter,"TEST",,
2011-04-06 10:51:40,2150928,Kristoffer,https://twitter.com/#!/search?q=%231ebe657,"",,
2011-04-06 10:51:43,2150928,Kristoffer,Setup,"ohho",,
2011-04-06 10:52:02,2150928,Kristoffer,Note,"dfgdfg",,
2011-04-06 10:52:23,2150928,Kristoffer,Session End. Duration,"00:00:42",,
