Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-06 11:31:24,8890238,Kristoffer,(Rapid Reporter version),"1.11.03.20",,
2011-04-06 11:31:24,8890238,Kristoffer,Hash Code,"a26b7fe",,
2011-04-06 11:31:24,8890238,Kristoffer,Twitter Account,"slaend",,
2011-04-06 11:31:24,8890238,Kristoffer,Session Reporter,"Kristoffer",,
2011-04-06 11:31:24,8890238,Kristoffer,Session Charter,"TEST",,
2011-04-06 11:31:24,8890238,Kristoffer,https://twitter.com/#!/search?q=%23a26b7fe,"",,
2011-04-06 11:31:26,8890238,Kristoffer,Setup,"FUNKA DÅ",,
2011-04-06 11:32:09,8890238,Kristoffer,Session End. Duration,"00:00:45",,
