Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-06 10:16:36,4628004,Kristoffer,(Rapid Reporter version),"1.11.03.20",,
2011-04-06 10:16:36,4628004,Kristoffer,Hash Code,"dd0bff7",,
2011-04-06 10:16:36,4628004,Kristoffer,Twitter Account,"4628004",,
2011-04-06 10:16:36,4628004,Kristoffer,Session Reporter,"Kristoffer",,
2011-04-06 10:16:36,4628004,Kristoffer,Session Charter,"TEST",,
2011-04-06 10:16:36,4628004,Kristoffer,https://twitter.com/#!/search?q=%23dd0bff7,"",,
2011-04-06 10:16:38,4628004,Kristoffer,Setup,"hoho",,
2011-04-06 10:16:41,4628004,Kristoffer,Note,"hoho",,
2011-04-06 10:16:44,4628004,Kristoffer,Session End. Duration,"00:00:07",,
