Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-06 11:44:01,9292913,Kristoffer,(Rapid Reporter version),"1.11.03.20",,
2011-04-06 11:44:01,9292913,Kristoffer,Hash Code,"a7ed387",,
2011-04-06 11:44:01,9292913,Kristoffer,Twitter Account,"9292913",,
2011-04-06 11:44:01,9292913,Kristoffer,Session Reporter,"Kristoffer",,
2011-04-06 11:44:01,9292913,Kristoffer,Session Charter,"TEST",,
2011-04-06 11:44:02,9292913,Kristoffer,https://twitter.com/#!/search?q=%23a7ed387,"",,
2011-04-06 11:44:03,9292913,Kristoffer,Setup,"sdfgadfsgdfg",,
2011-04-06 11:45:03,9292913,Kristoffer,Session End. Duration,"00:01:01",,
