Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-06 11:26:39,,Kristoffer,(Rapid Reporter version),"1.11.03.20",,
2011-04-06 11:26:39,,Kristoffer,Hash Code,"44f384a",,
2011-04-06 11:26:39,,Kristoffer,Twitter Account,"",,
2011-04-06 11:26:39,,Kristoffer,Session Reporter,"Kristoffer",,
2011-04-06 11:26:39,,Kristoffer,Session Charter,"TEST",,
2011-04-06 11:26:39,,Kristoffer,https://twitter.com/#!/search?q=%2344f384a,"",,
2011-04-06 11:26:42,,Kristoffer,Setup,"hohoho",,
2011-04-06 11:26:45,,Kristoffer,Note,"dfgdfgdf",,
2011-04-06 11:26:48,,Kristoffer,Session End. Duration,"00:00:09",,
