Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-11 12:58:19,Kristoffer,(Rapid Reporter version),"1.11.03.20",,
2011-04-11 12:58:19,Kristoffer,Hash Code,"d6928af",,
2011-04-11 12:58:19,Kristoffer,Twitter Account,"Pvt10RR2",,
2011-04-11 12:58:19,Kristoffer,Session Reporter,"Kristoffer",,
2011-04-11 12:58:19,Kristoffer,Session Charter,"TEST",,
2011-04-11 12:58:19,Kristoffer,Twitter Link,"https://twitter.com/#!/search?q=%23d6928af",,
2011-04-11 12:58:24,Kristoffer,Setup,"fdfasdfe",,
2011-04-11 12:58:39,Kristoffer,Session End. Duration,"00:00:20",,
