Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-11 12:38:00,Kristoffer,(Rapid Reporter version),"1.11.03.20",,
2011-04-11 12:38:00,Kristoffer,Hash Code,"a84e542",,
2011-04-11 12:38:00,Kristoffer,Twitter Account,"Pvt10RR2",,
2011-04-11 12:38:00,Kristoffer,Session Reporter,"Kristoffer",,
2011-04-11 12:38:00,Kristoffer,Session Charter,"Pegasus",,
2011-04-11 12:38:00,Kristoffer,Twitter Link,"https://twitter.com/#!/search?q=%23a84e542",,
2011-04-11 12:38:04,Kristoffer,Setup,"Teest",,
2011-04-11 12:38:09,Kristoffer,Session End. Duration,"00:00:09",,
