Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-11 10:44:06,Krsitoffer,(Rapid Reporter version),"1.11.03.20",,
2011-04-11 10:44:06,Krsitoffer,Hash Code,"83f27cb",,
2011-04-11 10:44:06,Krsitoffer,Twitter Account,"Pvt10RR2",,
2011-04-11 10:44:06,Krsitoffer,Session Reporter,"Krsitoffer",,
2011-04-11 10:44:06,Krsitoffer,Session Charter,"sadf",,
2011-04-11 10:44:06,Krsitoffer,Twitter Link,"https://twitter.com/#!/search?q=%2383f27cb",,
2011-04-11 10:44:25,Krsitoffer,Session End. Duration,"00:00:19",,
