Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-06 11:47:50,4528121,Kristoffer,(Rapid Reporter version),"1.11.03.20",,
2011-04-06 11:47:50,4528121,Kristoffer,Hash Code,"6dbac2e",,
2011-04-06 11:47:50,4528121,Kristoffer,Twitter Account,"Pvt10RR2",,
2011-04-06 11:47:50,4528121,Kristoffer,Session Reporter,"Kristoffer",,
2011-04-06 11:47:50,4528121,Kristoffer,Session Charter,"TEST",,
2011-04-06 11:47:50,4528121,Kristoffer,https://twitter.com/#!/search?q=%236dbac2e,"",,
2011-04-06 11:47:53,4528121,Kristoffer,Setup,"GÖTT",,
2011-04-06 11:47:56,4528121,Kristoffer,Note,"ÄNNA",,
2011-04-06 11:47:59,4528121,Kristoffer,Session End. Duration,"00:00:08",,
