Time,Reporter,Type,Content,Screenshot,RTF Note
2011-04-06 11:28:49,3205408,Kristoffer,(Rapid Reporter version),"1.11.03.20",,
2011-04-06 11:28:49,3205408,Kristoffer,Hash Code,"2c1ee9d",,
2011-04-06 11:28:49,3205408,Kristoffer,Twitter Account,"Pvt10RR2",,
2011-04-06 11:28:49,3205408,Kristoffer,Session Reporter,"Kristoffer",,
2011-04-06 11:28:49,3205408,Kristoffer,Session Charter,"TEST",,
2011-04-06 11:28:49,3205408,Kristoffer,https://twitter.com/#!/search?q=%232c1ee9d,"",,
2011-04-06 11:28:52,3205408,Kristoffer,Setup,"hej hej hallå¨",,
2011-04-06 11:28:57,3205408,Kristoffer,Note,"hej",,
2011-04-06 11:29:00,3205408,Kristoffer,Session End. Duration,"00:00:10",,
